Data;FaturamentoAntigo;Faturamento;Mês;Num;N-Mês
"2020	/1/1";;;Janeiro;1;01/jan
"2020	/1/2";;;Janeiro;1;01/jan
"2020	/1/3";;;Janeiro;1;01/jan
"2020	/1/4";;;Janeiro;1;01/jan
"2020	/1/5";;;Janeiro;1;01/jan
"2020	/1/6";;;Janeiro;1;01/jan
"2020	/1/7";14111.72;7.05586;Janeiro;1;01/jan
"2020	/1/8";14424.42;7.21221;Janeiro;1;01/jan
"2020	/1/9";14091.23;7.045615;Janeiro;1;01/jan
"2020	/1/10";18132.19;9.066095;Janeiro;1;01/jan
"2020	/1/11";14402.79;7.201395;Janeiro;1;01/jan
"2020	/1/12";;;Janeiro;1;01/jan
"2020	/1/13";11246.2;5.6231;Janeiro;1;01/jan
"2020	/1/14";12827.21;6.413605;Janeiro;1;01/jan
"2020	/1/15";13942.14;6.97107;Janeiro;1;01/jan
"2020	/1/16";11811.17;5.905585;Janeiro;1;01/jan
"2020	/1/17";11669.87;5.834935;Janeiro;1;01/jan
"2020	/1/18";;;Janeiro;1;01/jan
"2020	/1/19";16437.74;8.21887;Janeiro;1;01/jan
"2020	/1/20";11083.84;5.54192;Janeiro;1;01/jan
"2020	/1/21";11483.3;5.74165;Janeiro;1;01/jan
"2020	/1/22";14719.46;7.35973;Janeiro;1;01/jan
"2020	/1/23";12292.12;6.14606;Janeiro;1;01/jan
"2020	/1/24";13179.73;6.589865;Janeiro;1;01/jan
"2020	/1/25";12720;6.36;Janeiro;1;01/jan
"2020	/1/26";;;Janeiro;1;01/jan
"2020	/1/27";12112.21;6.056105;Janeiro;1;01/jan
"2020	/1/28";11763.73;5.881865;Janeiro;1;01/jan
"2020	/1/29";13042.41;6.521205;Janeiro;1;01/jan
"2020	/1/30";11504.02;5.75201;Janeiro;1;01/jan
"2020	/1/31";13477.96;6.73898;Janeiro;1;01/jan
"2020	/2/1";19503.57;9.751785;Fevereiro;2;02/fev
"2020	/2/2";;;Fevereiro;2;02/fev
